;img;race;mean;asm;contrast;correlation;variance;idm;entropy;class
0;Basset Hound.102.3.jpg;Basset Hound;[89.930875763770885, 90.083504560055147];0.00022169960836263057;407.1450143150816;0.9582673028012881;4673.946233346566;0.15778063015326244;13.22910995339933;3
1;Basset Hound.118.3.jpg;Basset Hound;[114.88334819432004, 115.0023536249451];0.0001427628501148836;388.6243995429379;0.9571215342593264;4336.9231191305935;0.13496101645746877;13.493774145877735;3
2;Basset Hound.120.3.jpg;Basset Hound;[115.97492865028299, 115.97484422904078];0.00013963769557277783;464.25682073943744;0.9527022590882362;4675.683375223701;0.11420787727919875;13.563548247212866;3
3;Basset Hound.129.3.jpg;Basset Hound;[85.542684658928891, 85.573866882858454];0.00022192283168398716;461.41452935197185;0.9431783562965731;3829.463732545662;0.15133905738947612;13.061424396424002;3
4;Basset Hound.149.3.jpg;Basset Hound;[77.157545393023767, 77.057372741752459];0.00035183441935578554;371.19500190438526;0.9510547418667108;3605.980732858116;0.2128424864235001;12.476091736756247;3
5;Basset Hound.151.3.jpg;Basset Hound;[77.157545393023767, 77.057372741752459];0.00035183441935578554;371.19500190438526;0.9510547418667108;3605.980732858116;0.2128424864235001;12.476091736756247;3
6;Basset Hound.153.3.jpg;Basset Hound;[93.466213097802978, 93.470246903980197];0.00019647815355927975;775.531522780135;0.9361586466296324;5686.129987003824;0.10950595300498342;13.526189599739318;3
7;Basset Hound.169.3.jpg;Basset Hound;[61.788301794937986, 61.782127903480884];0.0005827247246031517;474.90048650800514;0.9439758593850524;4000.9028468506262;0.18118565030881564;12.238234255013644;3
8;Basset Hound.190.3.jpg;Basset Hound;[101.98577887480015, 101.99186541003455];0.00020486007419298714;504.2960753486433;0.9410008560407679;4021.608733238181;0.1320978091959633;13.326968139046759;3
9;Basset Hound.2.3.jpg;Basset Hound;[91.822453064967362, 91.834876880486974];0.00020242439080250802;497.0384345738804;0.9483305672061633;4561.269117804577;0.15281969958448777;13.27224953980013;3
10;Basset Hound.203.3.jpg;Basset Hound;[126.38785872913033, 126.39182467566866];0.00016613027233600608;689.1425385328619;0.9439793628234113;5806.220280899827;0.11080887206099523;13.887650475491311;3
11;Basset Hound.22.3.jpg;Basset Hound;[93.905819010087001, 93.904432147001472];0.0002111682218836879;484.1147845947074;0.9455366984998776;4202.355350156712;0.15002973693979454;13.195333536082973;3
12;Basset Hound.29.3.jpg;Basset Hound;[95.481082526643462, 95.490949120584204];0.00031106876915041703;466.2503273239193;0.9587636883238131;5420.2672787199235;0.19440049576931948;12.839157585882155;3
13;Basset Hound.38.3.jpg;Basset Hound;[101.33836251978609, 101.3133876642335];0.000122388776268228;772.8539932612892;0.929058735844971;5060.702686832701;0.0954086495633384;13.946124095047358;3
